Periods,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
1878,199000,233037.5432276028,269257.6008321391,307282.7378496795,346443.36038868583,385776.2111110761,424150.3978972838,460459.5147887496,493797.5586025968,523563.65928567015,549483.46671669,571567.0179378096,590034.42358491,605236.4074498884,617586.0862392032,627508.4193849035,635407.2672264549,641646.8984451132,646543.9711843015,650366.3748171353
1879,165000,193222.08358067565,223253.7896346882,254782.1695738549,287252.0324830812,319864.6976549124,351682.49071885337,381788.03990021953,409430.13652979134,434110.5717695255,455601.8693882103,473912.3515564753,489224.5220678903,501829.18205644016,512068.8654747162,520295.9256206486,526845.2215696737,532018.7851429331,536079.1720874863,539248.5017328006
1880,166000,194393.1265114676,224606.84290520145,256326.3039349085,288992.9538920696,321803.27158009366,353813.8997535131,384101.90680870577,411911.53129663854,436741.54493176506,458363.0928390479,476784.5476265145,492189.519171332,504870.5710386004,515172.31314426,523449.23426077375,530038.2229125202,535243.1414165266,539328.1367668043,542516.6744705752
1881,154000,180340.61134196396,208370.20365904237,237796.69160226453,268101.89698420913,298540.3844779182,328236.9913375965,356335.5039068716,382134.7940944719,405169.8669848905,425228.41142899625,442318.1947860436,456609.5539300309,468373.9032526775,477930.9411097352,485609.530579272,491722.2067983621,496550.8661334042,500340.5606149871,503298.60161728057
1882,163000,190879.9977190917,220547.68309366168,251693.90085174752,283770.18966510444,315987.5498045498,347419.67264953395,377160.3060832472,404467.3469960969,428848.6254450464,450079.422486535,468167.9594163968,483294.52786100673,495746.40409211966,505861.9701356288,513989.3083403983,520459.2188839807,525570.072595746,529581.24272885,532712.1562572515
1883,162000,189708.9547882997,219194.62982314845,250149.76649069384,282029.2682561161,314048.9758793685,345288.2636148742,374846.439174761,401985.9522292497,426217.65228280687,447318.1990356974,465295.7633463575,480329.530757565,492705.0151099594,502758.522466085,510835.9997002732,517266.2175411342,522345.71632215247,526332.2780495319,529443.983519477
1884,177000,207274.5987501793,239490.42888084732,273311.7819064988,308143.08939094166,343127.5847570878,377259.39913477,409554.4428020537,439206.873731958,465682.24971640005,488736.550798262,508378.7043969462,524804.4873091914,538325.849842363,549310.2375092411,558135.6293021503,565161.2376838318,570711.0604260555,575066.7482393034,578466.5745860952
1885,185000,216642.94219651516,250314.85504495344,285664.85679492814,322070.4606628486,358636.1761585381,394310.6714120477,428065.3780699432,459058.0318667357,486730.0350143165,510826.338404963,531356.2729572601,548524.4641367254,562656.961699645,574137.818865591,583362.0984231515,590705.2484266039,596505.9106148038,601058.4656738482,604611.9564882916
1886,178000,208445.6416809713,240843.4821513606,274855.91626755253,309884.01079993,345066.1586822691,379390.8081694297,411868.3097105399,441688.2684988053,468313.2228786397,491497.7742490996,511250.9004669854,527769.4844126331,541367.2388245233,552413.6851787848,561288.9379422754,568354.2390266783,573935.4166996491,578315.7129186215,581734.7473238697
1887,129000,151064.5380721646,174543.87189621077,199193.3325759229,224578.86175949985,250076.03634838603,274951.76547110354,298488.8311947171,320099.92492329143,339395.53792890173,356197.8251580553,370513.2930350625,382484.6263439869,392339.1786986714,400344.7493711418,406776.81457614346,411897.1732271994,415941.9592935659,419116.4436320346,421594.28317291685
1888,134000,156919.75272612445,181309.13824877708,206914.0043811912,233283.4688044417,259768.9059742925,285608.8106444021,310058.165737148,332506.8987575275,352550.4037400995,370003.9424122435,384874.2733852587,397309.6118611957,407546.1236094726,415861.9877188605,422543.3577767692,427862.179941432,432063.7406615336,435361.2670286252,437935.1468617896
1889,135000,158090.79565691645,182662.19151929035,208458.1387422449,235024.39021343007,261707.47989947372,287740.21967906185,312372.0326456342,334988.2935243747,355181.37690233905,372765.1658630811,387746.4694552979,400274.6089646375,410587.5125916328,418965.4353884042,425696.6664168943,431055.1812842785,435288.0969351271,438610.23170794325,441203.3195995641
1890,140000,163946.0103108763,189427.45787185663,216178.8105475132,243728.99725837196,271400.3495253802,298397.2648523604,323941.3671880651,347395.2673586108,368336.2427135368,386571.2831172693,402107.44980549417,415099.5944818463,425794.4575024341,434482.6737361229,441463.20961752,447020.187998511,451409.8783030947,454855.0551045337,457544.1832884369
1891,220000,257629.4447742342,297671.7195129176,339709.55943180644,383002.7099774416,426486.26353988313,468909.9876251378,509050.7198669594,545906.8487063885,578814.0956927007,607469.1591842804,631883.1354086336,652299.362757187,669105.5760752535,682758.4872996217,693727.9008275315,702460.2954262316,709358.3801905775,714772.2294499816,718998.0023104008
1892,364000,426259.6268082784,492511.3904668273,562064.9074235343,633695.392871767,705640.9087659884,775832.8886161371,842247.5546889692,903227.6951323882,957674.2310551956,1005085.3361049002,1045479.3694942849,1079258.9456528004,1107065.5895063286,1129654.9517139194,1147804.345005552,1162252.488796129,1173665.6835880463,1182623.1432717878,1189614.876549936
1893,346000,405180.8540540229,468156.4315975886,534270.4889245684,602358.8075099763,670746.5781127253,737467.5259922622,800597.950336218,858562.5893291382,910316.7141348836,955383.3139898228,993779.8402335783,1025888.9977908486,1052320.5878274443,1073792.8936621323,1091044.7894832997,1104778.4646248915,1115627.2706633627,1124141.779044062,1130787.767269994
1894,324000,379417.9095765995,438389.2596462969,500299.5329813877,564058.5365122322,628097.951758737,690576.5272297484,749692.878349522,803971.9044584994,852435.3045656137,894636.3980713948,930591.526692715,960659.06151513,985410.0302199188,1005517.04493217,1021671.9994005464,1034532.4350822684,1044691.4326443048,1052664.5560990635,1058887.967038954
1895,315000,368878.5231994717,426211.7802116775,486402.32373190473,548390.2438313368,610650.7864321055,671393.845917811,728868.0761731465,781639.3515568743,828756.5461054578,869785.387013856,904741.7620623618,933974.087584154,958037.5293804768,977586.0159062764,993292.22163942,1005795.42299665,1015672.2261819632,1023423.8739852008,1029474.412398983
1896,278000,325549.93476016866,376148.8092026868,429269.3523729191,483976.1516987671,538923.5512003978,592531.7116354015,643255.0005591578,689827.7451835272,731410.5391025945,767620.1193328634,798470.5074709099,824269.194756809,845506.1370405477,862758.4521331582,876619.8019547898,887654.373311329,896371.0440590024,903212.1808504312,908552.0211013248
1897,254000,297444.9044211613,343675.53071036853,392210.1277076311,442194.0378830462,492397.7769960469,541377.8948035683,587722.1947554895,630274.270779194,668267.1832088453,701350.7565127601,729537.8017899679,753109.2642742068,772512.8014687018,788275.7080641086,800940.3945917863,811022.3410830129,818986.4934927576,825237.028546797,830115.8753947355
1898,231000,270510.9170129459,312555.3054885635,356695.0374033968,402152.84547631367,447810.5767168773,492355.4870063947,534503.2558603074,573202.1911417079,607754.8004773357,637842.6171434944,663477.2921790653,684914.3308950464,702560.8548790162,716896.4116646027,728414.295868908,737583.3101975432,744826.2992001063,750510.8409224807,754947.9024259209
1899,234000,274024.04580532183,316614.4653001033,361327.4404865578,407375.6097032788,453626.2984924212,498749.71411037387,541444.856585766,580646.3754422496,615647.7199640543,646126.2874960073,672093.8803891831,693809.3222053716,711685.0218254969,726206.754673234,737874.2217892834,747162.3142260828,754499.3680208869,760257.734960435,764752.4206392445
1900,209000,244747.97253552248,282788.1335372717,322724.08146021614,363852.5744785695,405161.950362889,445464.4882438809,483598.1838736114,518611.50627106905,549873.3909080656,577095.7012250663,600288.978638202,619684.3946193276,635650.2972714909,648620.5629346406,659041.5057861549,667337.28065492,673890.4611810485,679033.6179774825,683048.1021948808
1901,210000,245919.01546631445,284141.186807785,324268.2158212698,365593.49588755786,407100.5242880703,447595.8972785407,485912.0507820976,521092.90103791625,552504.3640703051,579856.924675904,603161.1747082412,622649.3917227694,638691.686253651,651724.0106041844,662194.8144262801,670530.2819977666,677114.8174546422,682282.5826568006,686316.2749326554
1902,252000,295102.81855957734,340969.424169342,389121.85898552375,438712.1950650695,488520.6291456843,537115.0767342488,583094.4609385171,625311.4812454995,663005.2368843663,695828.3096110848,723793.4096498895,747179.2700673232,766430.0235043813,782068.8127250212,794633.777311536,804636.3383973199,812537.7809455706,818739.0991881607,823579.5299191864
1903,182000,213129.8134041392,246255.6952334137,281032.4537117672,316847.6964358835,352820.4543829942,387916.44430806855,421123.7773444846,451613.8475661941,478837.1155275978,502542.6680524501,522739.6847471424,539629.4728264002,553532.7947531643,564827.4758569597,573902.172502776,581126.2443980643,586832.8417940232,591311.5716358939,594807.438274968
1904,174000,203761.4699578034,235431.2690693076,268679.37882333784,302920.3251639765,337311.86298154393,370865.1720307908,402612.8420765952,431762.68943141634,457789.3302296815,480452.880445749,499762.11618682847,515909.4959988661,529201.6828958823,539999.8945006098,548675.703381775,555582.2336552923,561037.9916052748,565319.8542013491,568662.0563727716
1905,181000,211958.7704733472,244902.6419629004,279488.3193507135,315106.7750268951,350881.880457813,385785.03527340887,418809.9104359984,449132.4527993469,476206.1423653583,499781.4446016125,519867.48867710313,536664.4757229583,550491.405771004,561724.028187416,570748.8638626509,577933.2430552178,583608.4855204297,588062.6069565758,591539.2655371934
1906,210000,245919.01546631445,284141.186807785,324268.2158212698,365593.49588755786,407100.5242880703,447595.8972785407,485912.0507820976,521092.90103791625,552504.3640703051,579856.924675904,603161.1747082412,622649.3917227694,638691.686253651,651724.0106041844,662194.8144262801,670530.2819977666,677114.8174546422,682282.5826568006,686316.2749326554
1907,125000,146380.3663489967,169131.65881415774,193016.7951317082,217615.17612354635,242321.7406476609,266426.12933246465,289233.3635607724,310174.34585590253,328871.64527994354,345152.9313547048,359024.5087549055,370624.6379302199,380173.6227700304,387930.9586929669,394163.5800156429,399125.1678558134,403044.5341991917,406120.5849147623,408521.5922218187
1908,251000,293931.77562878537,339616.3708988287,387577.7246244701,436971.2736560811,486582.0552205031,534983.667699589,580780.594030031,622830.0864786523,660374.2637221267,693067.0861602472,720921.2135798503,744214.2729638815,763388.634522221,778965.3650554774,791480.4686714109,801443.3370544733,809313.424671977,815490.1345088426,820311.3571814118
1909,147000,172143.31082642011,198898.8307654495,226987.7510748889,255915.4471212905,284970.3670016492,313317.12809497846,340138.4355474683,364765.03072654136,386753.0548492136,405899.8472731328,422212.8222957689,435854.57420593855,447084.1803775558,456206.807422929,463536.370098396,469371.1973984366,473980.3722182495,477597.8078597604,480421.39245285874
1910,170000,199077.29823463556,230019.0559872545,262502.8413791232,295956.6395280231,329557.5672808188,362339.535892152,393357.37444265047,421837.1103640274,447265.43758072326,469407.98664239846,488273.33190667146,504049.507585099,517036.12696724135,527586.1038224349,536062.4688212743,542810.2282839062,548140.5665109007,552323.9954840767,555589.3654216734
1911,166000,194393.1265114676,224606.84290520145,256326.3039349085,288992.9538920696,321803.27158009366,353813.8997535131,384101.90680870577,411911.53129663854,436741.54493176506,458363.0928390479,476784.5476265145,492189.519171332,504870.5710386004,515172.31314426,523449.23426077375,530038.2229125202,535243.1414165266,539328.1367668043,542516.6744705752
1912,127000,148722.45221058064,171837.76535518427,196105.06385381555,221097.0189415231,246198.88849802344,270688.9474017841,293861.09737774474,315137.135389597,334133.59160442266,350675.37825638003,364768.900894984,376554.6321371034,386256.4007343509,394137.8540320543,400470.1972958932,405511.1705415064,409493.2467463788,412618.5142733985,415057.9376973677
